rank,type_designator,group,description,engine_aircraft_class,wtc,cwt,srs,lahso,manufacturer_model
129,BE20,beechcraft,Fixed-wing,2T/S+,Light/Medium,I,III,7,"BEECH, 1300 Commuter ; BEECH, 200 Super King Air ; BEECH, C-12A Huron ; BEECH, C-12C Huron ; BEECH, C-12D Huron ; BEECH, C-12E Huron ; BEECH, C-12F Huron ; BEECH, C-12L Huron ; BEECH, C-12R Huron ; BEECH, FWC-12 Tzufit ; BEECH, JC-12 Huron ; BEECH, NC-12 Huron ; BEECH, RC-12 Huron ; BEECH, TC-12 Huron ; BEECH, UC-12 Huron ; BEECHCRAFT, 200 King Air 250 ; BEECHCRAFT, 200 King Air 260 ; BEECHCRAFT, King Air 260 ; HAWKER BEECHCRAFT, 200 King Air 200 ; RAYTHEON, 200 Super King Air ; RAYTHEON, C-12 Huron"
130,BE22,beechcraft,Fixed-wing,1T/S,Light,I,I,,"BEECHCRAFT, 220 Denali TEXTRON, 220 Denali"
131,BE23,beechcraft,Fixed-wing,1P/S,Light,I,I,2,"BEECH, 23 Musketeer ; BEECH, 23 Sundowner"
132,BE24,beechcraft,Fixed-wing,1P/S,Light,I,I,3,"BEECH, 24 Musketeer Super ; BEECH, 24 Sierra"
133,BE30,beechcraft,Fixed-wing,2T/S+,Light,I,III,6,"BEECH, 300 Super King Air RAYTHEON, 300 Super King Air"
134,BE33,beechcraft,Fixed-wing,1P/S,Light,I,I,4,"BEECH, 33 Bonanza ; BEECH, 33 Debonair ; COLEMILL, Starfire Bonanza 33 ; HESA, Parastu ; RAYTHEON, 33 Bonanza"
135,BE35,beechcraft,Fixed-wing,1P/S,Light,I,I,3,"BEECH, 35 Bonanza ; COLEMILL, Starfire Bonanza 35"
136,BE36,beechcraft,Fixed-wing,1P/S,Light,I,I,2,"BEECH, 36 Bonanza 36 ; BEECH, A36 Bonanza 36 ; BEECH, A36AT Bonanza 36 ; BEECHCRAFT, G36 Bonanza ; COLEMILL, Starfire Bonanza 36 ; HAWKER BEECHCRAFT, G36 Bonanza ; RAYTHEON, A36 Bonanza 36 ; RAYTHEON, A36 Chofit ; RAYTHEON, G36 Bonanza"
137,BE40,beechcraft,Fixed-wing,2J/S+,Medium,H,III,8,"BEECH, 400 Beechjet ; BEECH, 400A Beechjet ; BEECH, 400T Jayhawk ; BEECH, 400T TX ; BEECH, T-1 Jayhawk ; BEECH, T-400 ; HAWKER BEECHCRAFT, Hawker 400XP ; RAYTHEON, 400A Beechjet ; RAYTHEON, 400T Jayhawk ; RAYTHEON, 400T TX ; RAYTHEON, Hawker 400XP ; RAYTHEON, T-1 Jayhawk ; RAYTHEON, T-400"
138,BE4W,beechcraft,Fixed-wing,2J/S+,Medium,H,III,8,"BEECH, 400XPR Beechjet ; BEECH, 400XT Beechjet ; HAWKER BEECHCRAFT, 400XPR Beechjet HAWKER BEECHCRAFT, Hawker 400XPR HAWKER BEECHCRAFT, Hawker 400XT ; NEXTANT, 400XT Beechjet NEXTANT, Hawker 400XT ; RAYTHEON, 400XPR Beechjet RAYTHEON, 400XT Beechjet RAYTHEON, Hawker 400XPR RAYTHEON, Hawker 400XT"
139,BE50,beechcraft,Fixed-wing,2P/S,Light,I,II,4,"BEECH, 50 Twin Bonanza ; BEECH, RU-8 Seminole ; BEECH, U-8D Seminole ; BEECH, U-8E Seminole ; BEECH, U-8G Seminole ; EXCALIBUR, Excalibur ; SWEARINGEN, Excalibur"
140,BE55,beechcraft,Fixed-wing,2P/S,Light,I,II,6,"BEECH, 55 Baron ; BEECH, C-55 Baron ; BEECH, T-42 Cochise ; COLEMILL, Foxstar Baron 55 ; COLEMILL, President 600"
141,BE56,beechcraft,Fixed-wing,2P/S,Light,I,II,2,"BEECH, 56 Turbo Baron ; BEECH, 58 Baron ; BEECHCRAFT, 58 Baron ; COLEMILL, Foxstar Baron 58 ; HAWKER BEECHCRAFT, 58 Baron ; RAYTHEON, 58 Baron"
142,BE58,beechcraft,Fixed-wing,2P/S,Light,I,II,6,"BEECH, 58 B"
143,BE60,beechcraft,Fixed-wing,2P/S,Light,I,II,8,"BEECH, 60 Duke ; BEECH, 65 Queen Air ; BEECH, U-8F Seminole ; EXCALIBUR, Queenaire 800 (65) ; SWEARINGEN, 800 (65)"
144,BE65,beechcraft,Fixed-wing,2P/S,Light,I,II,5,"BEECH, 70 Queen Air"
145,BE70,beechcraft,Fixed-wing,2P/S,Light,I,II,4,"BEECH, 76 Duchess"
146,BE77,beechcraft,Fixed-wing,1P/S,Light,I,I,1,"BEECH, 77 Skipper ; BEECH. 80 Queen Air ; BEECH, 80 Zamir ; EXCALIBUR, Queenaire 800 (80) ; EXCALIBUR, Queenaire 8800 ; SWEARINGEN, 800 (80)"
147,BE80,beechcraft,Fixed-wing,2P/S,Light,I,II,5,"BEECH, 88 Queen Air"
148,BE85,beechcraft,Fixed-wing,2P/S,Light,I,II,5,"BEECH, 95 Travel Air"
149,BE99,beechcraft,Fixed-wing,2T/S,Light,I,II,5,"BEECH, 99 Airliner ; BEECH, 90 (A90) King Air ; BEECH, 90 (B90) King Air ; BEECH, 90 (C90) King Air ; BEECH, 90 (D90) King Air ; BEECH, 90 (E90) King Air ; BEECH, 90 King Air ; BEECH, T-44 Pegasus ; BEECHCRAFT, 90 King Air 90 ; HAWKER BEECHCRAFT, 90 King Air 90 ; JETCRAFTERS, Taurus 90 ; RAYTHEON, 90 King Air ; SWEARINGEN, Taurus 90"
150,BT36,beechcraft,Fixed-wing,1 P / S,Light,I,I,3,"BEECH, A36TC Bonanza ; BEECH, B36TC Bonanza ; RAYTHEON, B36TC Bonanza"
151,H25B,beechcraft,Fixed-wing,2 ~J / S+,Medium,H,III,7,"BRITISH AEROSPACE, BAe-125-700 BRITISH AEROSPACE, BAe-125-800 BRITISH AEROSPACE, C-29 BRITISH AEROSPACE, U-125 HAWKER BEECHCRAFT, Hawker 750 HAWKER BEECHCRAFT, Hawker 800 HAWKER BEECHCRAFT, Hawker 850 HAWKER BEECHCRAFT, Hawker 900 HAWKER SIDDELEY, HS-125-700 RAYTHEON, Hawker 800 RAYTHEON, Hawker 850 RAYTHEON, IU-93 RAYTHEON, U-125"
152,H25C,beechcraft,Fixed-wing,2 ~J / S+,Medium,H,III,7,"BRITISH AEROSPACE, BAe-125-1000 RAYTHEON, Hawker 1000"
153,HA2,beechcraft,Gyroplane,1 P / S,Light,I,I,,"RAYTHEON, 4000 Hawker 4000 ; RAYTHEON, 4000 Hawker Horizon"
154,PRIM,beechcraft,Fixed-wing,1P/S,Light,I,I,,"BLACKSHAPE, Bk-100 Prime ; HAWKER BEECHCRAFT, 390 Hawker 200"
155,PRM1,beechcraft,Fixed-wing,2 ~J / S,Light,I,III,7,"HAWKER BEECHCRAFT, 390 Premier 1 ; RAYTHEON, 390 Premier 1"
156,STAT,beechcraft,Fixed-wing,1T/S,Light,I,I,,"BEECH, 2000 Starship"
157,STCH,beechcraft,Fixed-wing,1P/S,Light,I,I,,"RAYTHEON, 2000 Starship"
158,T34P,beechcraft,Fixed-wing,1 P / S,Light,I,I,1,"BEECH, 45 Mentor ; BEECH, T-34A Mentor ; BEECH, T-34B Mentor ; CCF, T-34 Mentor ; DINFIA, T-34 Mentor ; FUJI, KM-2B Mentor ; FUJI, T-3 Mentor ; FUJI, T-34 Mentor"
159,T34T,beechcraft,Fixed-wing,1 ~T / S,Light,I,I,,"BEECH, T-34C Turbo Mentor FUJI, T-3Kai"
160,TEX2,beechcraft,Fixed-wing,1 ~T / S,Light,I,I,,"HAWKER BEECHCRAFT, T-6 Eforni HAWKER BEECHCRAFT, T-6 Texan 2 RAYTHEON, 3000 Harvard 2 RAYTHEON, 3000 Texan 2 RAYTHEON, CT-156 Harvard 2 RAYTHEON, T-6 Texan 2"
161,U21,beechcraft,Fixed-wing,2 ~T / S,Light,I,II,,"BEECH, 90 (A90-1) Ute BEECH, 90 (A90-2) Ute BEECH, 90 (A90-3) Ute BEECH, 90 (A90-4) Ute"
162,SR20,secondary,Fixed-wing,1 P / S,Light,I,I,1,"CIRRUS, SR-20"
163,SR22,secondary,Fixed-wing,1 P / S,Light,I,I,1,"CIRRUS, SR-22"
164,DA40,secondary,Fixed-wing,1 P / S,Light,I,I,4,"DAVIS, DA-2"
165,DA42,secondary,Fixed-wing,2 P / S,Light,I,II,4,"DIAMOND, DA-40 Club Star"
166,DA62,secondary,Fixed-wing,2 P / S,Light,I,II,,"DIAMOND, DA-42 Twin Turbo"
167,DV20,secondary,Fixed-wing,1 P / S,Light,I,I,,"DOVA, DV-2 Infinity"
168,AA1,secondary,Fixed-wing,1 P / S,Light,I,I,1,"AMERICAN, AA-1 Tr2 ; AMERICAN, AA-1 Trainer ; AMERICAN, AA-1 Yankee ; GRUMMAN AMERICAN, AA-1 Lynx ; GRUMMAN AMERICAN, AA-1 T-Cat ; GRUMMAN AMERICAN, AA-1 Tr2 ; GRUMMAN AMERICAN, AA-1 Trainer ; GULFSTREAM AMERICAN, AA-1 Lynx ; GULFSTREAM AMERICAN, AA-1 T-Cat"
169,AA5,secondary,Fixed-wing,1 P / S,Light,I,I,1,"AMERICAN, AA-5 Traveler AMERICAN GENERAL, AG-5 Tiger GRUMMAN AMERICAN, AA-5 Cheetah GRUMMAN AMERICAN, AA-5 Tiger GRUMMAN AMERICAN, AA-5 Traveler GULFSTREAM AMERICAN, AA-5 Cheetah GULFSTREAM AMERICAN, AA-5 Tiger TIGER, AG-5 Tiger"
170,M20P,secondary,Fixed-wing,1 P / S,Light,I,I,4,"MOONEY, M-20F Executive MOONEY, M-20G Statesman MOONEY, M-20J 201 MOONEY, M-20J 205 MOONEY, M-20J Allegro MOONEY, M-20J ATS MOONEY, M-20J MSE MOONEY, M-20L PFM MOONEY, M-20R Ovation MOONEY, M-20R Ovation 2 MOONEY, M-20R Ovation 3 MOONEY, M-20S Eagle MOONEY, M-20U Ovation Ultra"
171,M20T,secondary,Fixed-wing,1 P / S,Light,I,I,6,"MOONEY, M-20K 252TSE MOONEY, M-20K Encore MOONEY, M-20M Bravo MOONEY, M-20M TLS MOONEY, M-20TN Acclaim MOONEY, M-20TN Acclaim Type S MOONEY, M-20V Acclaim Ultra"
172,GLAS,secondary,Fixed-wing,1 P / S,Light,I,I,,"GLASAIR, Glasair ; NEW GLASAIR, Glasair ; STODDARD-HAMILTON, Glasair"
173,GLST,secondary,Fixed-wing,1 P / S,Light,I,I,,"STODDARD-HAMILTON, Turbine Glasair"
174,RV6,secondary,Fixed-wing,1 P / S,Light,I,I,,"AIEP, Air Beetle ; All, AVA-202 ; VAN'S, RV-6"
175,RV7,secondary,Fixed-wing,1 P / S,Light,I,I,,"VAN'S, RV-7"
176,RV8,secondary,Fixed-wing,1P/S,Light,I,I,,"VAN'S, RV-8"
177,RV9,secondary,Fixed-wing,1P/S,Light,I,I,,"VAN'S, RV-9"
178,RV10,secondary,Fixed-wing,1 P / S,Light,I,I,,"VAN'S, RV-10"
179,RV12,secondary,Fixed-wing,1 P / S,Light,I,I,,"VAN'S, RV-12"
180,RV14,secondary,Fixed-wing,1 P / S,Light,I,I,,"VAN'S, RV-14"
181,VELO,secondary,Fixed-wing,1 P / S,Light,I,I,,"VELOCITY, Velocity 173 VELOCITY, Velocity LW"
182,LEG2,secondary,Fixed-wing,1P/S,Light,I,I,,"LANCAIR, Legacy"
183,YK52,secondary,Fixed-wing,1P/S,Light,I,I,,"AEROSTAR (2), lak-52 ; AEROSTAR (2), Yak-52 ; AEROSTAR (2), Yak-54 ; BACAU, Yak-52 ; YAKOVLEV, Yak-52"
184,CJ6,secondary,Fixed-wing,1 P / S,Light,I,I,,"CORBY, CJ-1 Starlet"
185,PC12,secondary,Fixed-wing,1 ~T / S,Light,I,I,4,"PILATUS, PC-12 Eagle ; PILATUS, PC-12 Spectre ; PILATUS, U-28"
186,PC24,secondary,Fixed-wing,2 ~J / S+,Medium,H,III,5,"PILATUS, PC-24"
187,TBM7,secondary,Fixed-wing,1 ~T / S,Light,I,I,5,"\begin{aligned} & \text { SOCATA, TBM-700A } \\ & \text { SOCATA, TBM-700B } \\ & \text { SOCATA, TBM-700C } \\ & \text { TBM, TBM-700 } \\ & \text { TBM, TBM-700A } \end{aligned}"
188,TBM8,secondary,Fixed-wing,1 ~T / S,Light,I,I,5,"\begin{aligned} & \text { SOCATA, TBM-700N (TBM-850) } \\ & \text { SOCATA, TBM-850 } \end{aligned}"
189,TBM9,secondary,Fixed-wing,1 ~T / S,Light,I,I,5,"DAHER, TBM-700N (TBM-910) ; DAHER, TBM-700N (TBM-930) ; DAHER, TBM-700N (TBM-940) ; DAHER, TBM-700N (TBM-960) ; DAHER, TBM-910 ; DAHER, TBM-930 ; DAHER, TBM-940 ; DAHER, TBM-960 ; SOCATA, TBM-700N (TBM-900) ; SOCATA, TBM-700N (TBM-910) ; SOCATA, TBM-700N (TBM-930) ; SOCATA, TBM-900 ; SOCATA, TBM-910 ; SOCATA, TBM-930"
190,E50P,secondary,Fixed-wing,2J/S,Light,I,III,7,"EMBRAER, EMB-500 Phenom 100"
191,E55P,secondary,Fixed-wing,2 ~J / S+,Medium,H,III,6,"EMBRAER, EMB-550 Phenom 300"
192,HDJT,secondary,Fixed-wing,2 ~J / S,Light,I,III,4,"HONDA, HA-420 HondaJet"
193,SF50,secondary,Fixed-wing,1 ~J / S,Light,I,III,5,"CIRRUS, SF-50 Vision CIRRUS, SJ-X Vision"
194,EA50,secondary,Fixed-wing,2J/S,Light,I,III,4,"ECLIPSE, Eclipse 500 ; ECLIPSE, Eclipse 550"
195,P180,secondary,Fixed-wing,2 ~T / S,Light,I,II,1,"SMITH AVIATION, PA-18T Super Cub"
196,MU2,secondary,Fixed-wing,2 ~T / S,Light,I,II,6,"MITSUBISHI, LR-1 ; MITSUBISHI, MU-2 ; MITSUBISHI, MU-2 Marquise ; MITSUBISHI, MU-2 Solitaire"
197,SW4,secondary,Fixed-wing,2T/S+,Light/Medium,H,III,5,"FAIRCHILD (1), C-26 Metro FAIRCHILD (1), RC-26 Metro FAIRCHILD (1), SA-227AC Metro FAIRCHILD (1), SA-227AT Expediter FAIRCHILD (1), SA-227AT Merlin 4 FAIRCHILD (1), SA-227BC Metro FAIRCHILD (1), SA-227CC Metro FAIRCHILD (1), SA-227DC Expediter FAIRCHILD (1), SA-227DC Metro"
198,E545,secondary,Fixed-wing,2 ~J / S+,Medium,H,III,6,"EMBRAER, EMB-545 Legacy 450 ; EMBRAER, EMB-545 Praetor 500"
199,E550,secondary,Fixed-wing,2 ~J / S+,Medium,H,III,6,"EMBRAER, EMB-550 Legacy 500 ; EMBRAER, EMB-550 Praetor 600"
200,E135,secondary,Fixed-wing,2J/L,Medium,G,III,7,"EMBRAER, EMB-135LR"
201,CL30,secondary,Fixed-wing,2J/S+,Medium,H,III,7,"BOMBARDIER, BD-100 Challenger 300"
202,CL35,secondary,Fixed-wing,2J/S+,Medium,H,III,7,"BOMBARDIER, BD-100 Challenger 350 BOMBARDIER, BD-100 Challenger 3500"
203,CL60,secondary,Fixed-wing,2J/L,Medium,G,III,8,"CANADAIR, CE-144A Challenger 600 CANADAIR, CL-600 Challenger 600 CANADAIR, CL-600 Challenger 601 CANADAIR, CL-600 Challenger 604 CANADAIR, CL-600 Challenger 605"
204,LJ31,secondary,Fixed-wing,2J/S+,Medium,H,III,7,"GATES LEARJET, 31 LEARJET, 31"
205,LJ35,secondary,Fixed-wing,2J/S+,Medium,H,III,9,"GATES LEARJET, 35 ; GATES LEARJET, 36 ; GATES LEARJET, C-21 ; GATES LEARJET, R-35 ; GATES LEARJET, RC-35 ; GATES LEARJET, RC-36 ; GATES LEARJET, U-36 ; GATES LEARJET, UC-35 ; GATES LEARJET, UC-36 ; LEARJET, 35 ; LEARJET, 36 ; LEARJET, C-21 ; LEARJET, RC-35 ; LEARJET, U-36 ; LEARJET, UC-36 ; LEARJET, VU-35"
206,LJ45,secondary,Fixed-wing,2J/S+,Medium,H,III,6,"LEARJET, 45"
207,LJ60,secondary,Fixed-wing,2J/S+,Medium,H,III,8,"LEARJET, 60"
208,FA10,secondary,Fixed-wing,2 ~J / S+,Medium,H,III,8,"DASSAULT, Falcon 100"
209,FA20,secondary,Fixed-wing,2 ~J / S+,Medium,H,III,7,"DASSAULT, Gardian"
210,FA50,secondary,Fixed-wing,3 ~J / S+,Medium,H,III,8,"FAIRCHILD (1), UC-61 Forwarder"
211,F2TH,secondary,Fixed-wing,2J/S+,Medium,H,III,8,"DASSAULT, Falcon 2000"
212,F900,secondary,Fixed-wing,3J/L,Medium,G,III,8,"DASSAULT, Falcon 900 ; DASSAULT, Mystère 900"
213,GLF4,secondary,Fixed-wing,2J/L,Medium,G,III,8,"GULFSTREAM AEROSPACE, C-20F Gulfstream 4 GULFSTREAM AEROSPACE, C-20G Gulfstream 4 GULFSTREAM AEROSPACE, C-20H Gulfstream 4 GULFSTREAM AEROSPACE, G-4 Gulfstream 4 GULFSTREAM AEROSPACE, G-4 Gulfstream 4SP GULFSTREAM AEROSPACE, G-4 Gulfstream G300 GULFSTREAM AEROSPACE, G-4 Gulfstream G350 GULFSTREAM AEROSPACE, G-4 Gulfstream G400 GULFSTREAM AEROSPACE, G-4 Gulfstream SRA-4 GULFSTREAM AEROSPACE, G-4X Gulfstream G450 GULFSTREAM AEROSPACE, S102 Gulfstream 4 GULFSTREAM AEROSPACE, Tp102 Gulfstream 4 GULFSTREAM AEROSPACE, U-4 Gulfstream 4 GULFSTREAM AEROSPACE, C-37 GULFSTREAM AEROSPACE, E-550 GULFSTREAM AEROSPACE, EC-37 GULFSTREAM AEROSPACE, G-5 Gulfstream 5 GULFSTREAM AEROSPACE, G-5 Shavit GULFSTREAM AEROSPACE, G-5SP Eitam GULFSTREAM AEROSPACE, G-5SP Gulfstream 5SP GULFSTREAM AEROSPACE, G-5SP Gulfstream G500 GULFSTREAM AEROSPACE, G-5SP Gulfstream G550 GULFSTREAM AEROSPACE, G-5SP Oron GULFSTREAM AEROSPACE, MC-55 Peregrine GULFSTREAM AEROSPACE, NC-37"
214,GLF5,secondary,Fixed-wing,2J/L,Medium,F,III,7,"GULFSTREAM AEROSPACE, G-6 Gulfstream G650 (any manufacturer), Glider"
215,GLF6,secondary,Fixed-wing,2J/L,Medium,F,III,8,"GULFSTREAM AEROSPACE, G-6 Gulfstream G650 (any manufacturer), Glider"
216,G280,secondary,Fixed-wing,2J/S+,Medium,H,III,7,"GULFSTREAM AEROSPACE, Gulfstream G280 IAI, Gulfstream G280"
217,GALX,secondary,Fixed-wing,2J/S+,Medium,H,III,5,"GULFSTREAM AEROSPACE, Gulfstream G200 ; IAI, 1126 Galaxy ; IAI, 1126 Gulfstream G200"
218,R22,secondary,Helicopter,1 P / S,Light,I,I,,"SAU, R-02 Robert"
219,R44,secondary,Helicopter,1 P / S,Light,I,I,,"SIKORSKY, H-4 Hoverfly"
220,R66,secondary,Helicopter,1 ~T / S,Light,I,I,,"ROBINSON, R-66"
221,B06,secondary,Helicopter,1 ~T / S,Light,I,I,,"AGUSTA, AB-206 JetRanger ; AGUSTA, AB-206 LongRanger ; AGUSTA, Hkp6 JetRanger ; BELL, 406 ; BELL, 206A JetRanger ; BELL, 206B JetRanger ; BELL, 206L LongRanger ; BELL, 406 Combat Scout ; BELL, CH-136 ; BELL, CH-139 ; BELL, COH-58 ; BELL, OH-58 Kiowa ; BELL, OH-58 Kiowa Warrior ; BELL, TH-206 ; BELL, TH-57 SeaRanger ; BELL, TH-67 Creek ; BELL, VH-4 JetRanger ; COMMONWEALTH (1), BA-206 Kiowa ; COMMONWEALTH (1), CA-32 Kiowa ; PANHA, 2061"
222,B407,secondary,Helicopter,1T/S,Light,I,I,,"BELL, 407 ; BELL, ARH-70 Arapaho ; BELL, YRH-70 Arapaho ; NUSANTARA, NBell-407"
223,B429,secondary,Helicopter,2T/S,Light,I,I,,"BELL, 429 GlobalRanger"
224,B412,secondary,Helicopter,2T/S,Light,I,I,,"AQUSTA, AB-412 ; AQUSTA, AB-412 Griffon ; AQUSTA, Hkp11 ; BELL, 412 ; BELL, 412 Arapaho ; BELL, 412 Griffin ; BELL, 412 Sentinel ; BELL, CH-146 Griffon ; DIRGANTARA INDONESIA, NBell-412 ; NUSANTARA, NBell-412"
225,B212,secondary,Helicopter,2 ~T / S,Light,I,I,,"AGUSTA, AB-212 ; BELL, 212 ; BELL, 212 Twin Two-Twelve ; BELL, UH-1N ; BELL, VH-1"
226,UH1,secondary,Helicopter,1T/S,Light,I,I,,"AGUSTA, AB-204 ; AGUSTA, AB-205 ; AGUSTA, Hkp3 ; AIDC, UH-1 ; BELL, 204 ; BELL, 205 ; BELL, 210 ; BELL, CH-118 ; BELL, CUH-1H ; BELL, EH-1 Iroquois ; BELL, HH-1 Iroquois ; BELL, SH-1 Iroquois ; BELL, TH-1E Iroquois ; BELL, TH-1F Iroquois ; BELL, TH-1H Iroquois ; BELL, TH-1L Iroquois ; BELL, UH-1A Iroquois ; BELL, UH-1B Iroquois ; BELL, UH-1C Iroquois ; BELL, UH-1D Iroquois ; BELL, UH-1E Iroquois ; BELL, UH-1F Iroquois ; BELL, UH-1H Iroquois ; BELL, UH-1L Iroquois ; BELL, UH-1M Iroquois ; BELL, UH-1V Iroquois ; DORNIER, UH-1 ; EAGLE COPTERS, 212S Eagle Single ; FUJI, 204 ; FUJI, 205 ; FUJI, UH-1 ; GLOBAL, Huey 800 ; PANHA, Shabaviz 2-75 ; UNC, Ultra Huey"
227,H60,secondary,Helicopter,2T/S+,Medium,H,I,,"ASTA, S-70 Seahawk ; HAWKER DE HAVILLAND, S-70 Black Hawk ; KOREAN AIR, UH-60 Black Hawk ; MITSUBISHI, S-70 Seahawk ; MITSUBISHI, SH-60 Seahawk ; MITSUBISHI, UH-60 ; MITSUBISHI, USH-60 Seahawk ; SIKORSKY, AH-60 Black Hawk ; SIKORSKY, EH-60 Black Hawk ; SIKORSKY, HH-60 Black Hawk ; SIKORSKY, HH-60 Jayhawk ; SIKORSKY, HH-60 Pave Hawk ; SIKORSKY, HH-60 Rescue Hawk ; SIKORSKY, HM-2 Blackhawk ; SIKORSKY, JUH-60 Black Hawk ; SIKORSKY, MH-60 Black Hawk ; SIKORSKY, MH-60 Knighthawk ; SIKORSKY, MH-60 Strikehawk ; SIKORSKY, NSH-60 Seahawk ; SIKORSKY, S-70 ; SIKORSKY, S-70 Black Hawk ; SIKORSKY, S-70 Desert Hawk ; SIKORSKY, S-70 Firehawk ; SIKORSKY, S-70 Super Blue Hawk ; SIKORSKY, S-70 Thunderhawk ; SIKORSKY, SH-60 Ocean Hawk ; SIKORSKY, SH-60 Seahawk ; SIKORSKY, UH-60 Black Hawk ; SIKORSKY, UH-60 Firehawk ; SIKORSKY, UH-60 Yanshuf ; SIKORSKY, VH-60 White Hawk ; WESTLAND, WS-70 ; BOEING, AH-64 Longbow Apache ; BOEING, AH-64 Saraf ; FUJI, AH-64 Longbow Apache ; HUGHES, 77 Apache ; HUGHES, AH-64 Apache ; HUGHES, JAH-64 Apache ; MCDONNELL DOUGLAS, AH-64 Apache ; MCDONNELL DOUGLAS, AH-64 Longbow Apache ; MCDONNELL DOUGLAS, AH-64 Pethen ; MCDONNELL DOUGLAS, JAH-64 Apache ; WESTLAND, WAH-64 Apache"
228,S76,secondary,Helicopter,2 ~T / S,Light,I,I,,"KEYSTONE, S-76 ; SIKORSKY, AUH-76 ; SIKORSKY, H-76 Eagle ; SIKORSKY, S-76 ; SIKORSKY, S-76 Spirit"
229,EC20,secondary,Helicopter,1 ~T / S,Light,I,I,,"AIRBUS HELICOPTERS, EC-120 Colibri ; AIRBUS HELICOPTERS, H-120 Colibri ; EUROCOPTER, EC-120 Colibri ; EUROCOPTER, EC-120 Stylence ; HARBIN, HC-120"
230,EC30,secondary,Helicopter,1 ~T / S,Light,I,I,,"AIRBUS HELICOPTERS, EC-130 ; AIRBUS HELICOPTERS, H-130 ; EUROCOPTER, EC-130 ; EUROCOPTER, EC-130 Stylence"
231,EC35,secondary,Helicopter,2 ~T / S,Light,I,I,,"AIRBUS HELICOPTERS, EC-135 ; AIRBUS HELICOPTERS, EC-135 Bluecopter ; AIRBUS HELICOPTERS, EC-635 ; AIRBUS HELICOPTERS, H-135 ; EUROCOPTER, EC-135 ; EUROCOPTER, EC-635"
232,EC45,secondary,Helicopter,2 ~T / S,Light,I,I,,"AIRBUS HELICOPTERS-KAWASAKI, BK-117C-2 ; AIRBUS HELICOPTERS-KAWASAKI, BK-117D ; AIRBUS HELICOPTERS-KAWASAKI, BK-117D Jupiter ; AIRBUS HELICOPTERS-KAWASAKI, EC-145 ; AIRBUS HELICOPTERS-KAWASAKI, EC-645 ; AIRBUS HELICOPTERS-KAWASAKI, H-145 ; AIRBUS HELICOPTERS-KAWASAKI, H-145 Jupiter ; AIRBUS HELICOPTERS-KAWASAKI, UH-72 Lakota ; EUROCOPTER-KAWASAKI, BK-117C-2 ; EUROCOPTER-KAWASAKI, EC-145 ; EUROCOPTER-KAWASAKI, EC-145 Stylence ; EUROCOPTER-KAWASAKI, H-72 Lakota ; EUROCOPTER-KAWASAKI, UH-145 ; EUROCOPTER-KAWASAKI, UH-72 Lakota"
233,AS50,secondary,Helicopter,1 T / S,Light,I,I,,"AEROSPATIALE, AS-350 AStar AEROSPATIALE, AS-350 Ecureuil AEROSPATIALE, AS-350 SuperStar AEROSPATIALE, AS-550 Fennec AIRBUS HELICOPTERS, AS-350 Ecureuil AIRBUS HELICOPTERS, AS-350 SuperStar AIRBUS HELICOPTERS, AS-550 Fennec AIRBUS HELICOPTERS, H-125 Ecureuil AIRBUS HELICOPTERS, H-125 Fennec AIRBUS HELICOPTERS, H-125 SuperStar AVICOPTER, AC-301 ; CHANGHE, Z-11 ; EUROCOPTER, AS-350 AStar EUROCOPTER, AS-350 Ecureuil EUROCOPTER, AS-350 Squirrel EUROCOPTER, AS-350 Stylence EUROCOPTER, AS-350 SuperStar EUROCOPTER, AS-550 Fennec HELIBRAS, H-50 Esquilo HELIBRAS, HA-1 Esquilo HELIBRAS, HB-350 Esquilo HELIBRAS, UH-12 Esquilo LOT, AS-350 Ecureuil"
234,AS55,secondary,Helicopter,2 ~T / S,Light,I,I,,"AEROSPATIALE, AS-355 Ecureuil 2 AEROSPATIALE, AS-355 TwinStar AEROSPATIALE, AS-555 Fennec AIRBUS HELICOPTERS, AS-355 Ecureuil 2 EUROCOPTER, AS-355 Ecureuil 2 EUROCOPTER, AS-355 Stylence EUROCOPTER, AS-355 Twin Squirrel EUROCOPTER, AS-355 TwinStar EUROCOPTER, AS-555 Fennec HELIBRAS, CH-55 Esquilo HELIBRAS, HB-355 Esquilo HELIBRAS, UH-13 Esquilo ; HELIBRAS, VH-55 Esquilo"
235,A169,secondary,Helicopter,2T/S,Light,I,I,,"AGUSTAWESTLAND, AW-169 ; FINMECCANICA, AW-169 ; LEONARDO, AW-169"
236,A189,secondary,Helicopter,2T/S+,Medium,H,I,,"AGUSTAWESTLAND, AW-189 ; FINMECCANICA, AW-189 ; LEONARDO, AW-189"
237,BK17,secondary,Helicopter,2 ~T / S,Light,I,I,,"CASA, BK-117 ; EUROCOPTER-KAWASAKI, BK-117B ; EUROCOPTER-KAWASAKI, BK-117C-1 ; HYUNDAI, BK-117 ; MBB-KAWASAKI, BK-117 ; NUSANTARA, NBK-117"
238,MD52,secondary,Helicopter,1 ~T / S,Light,I,I,,"BOEING, MD-520N ; MCDONNELL DOUGLAS, AH-6J ; MCDONNELL DOUGLAS, MD-520N ; MCDONNELL DOUGLAS, MD-530N ; MCDONNELL DOUGLAS, MH-6J ; MD HELICOPTERS, MD-520N"
