rank,type_designator,group,description,engine_aircraft_class,wtc,cwt,srs,lahso,manufacturer_model
35,C310,cessna,Fixed-wing,2P/S,Light,I,II,4,"AVIONES COLOMBIA, 310 ; CESSNA, 310 ; CESSNA, L-27 ; CESSNA, T310 ; CESSNA, U-3 ; COLEMILL, Bearcat ; COLEMILL, Executive 600 ; RILEY, 65 ; RILEY, Rocket ; RILEY, Super 310 ; RILEY, Turbo-Rocket ; RILEY, Turbostream"
36,C320,cessna,Fixed-wing,2P/S,Light,I,II,5,"CESSNA, 320 Skyknight COLEMILL, Century 600"
37,C335,cessna,Fixed-wing,2P/S,Light,I,II,4,"CESSNA, 335"
38,C336,cessna,Fixed-wing,2P/S,Light,I,II,3,"CESSNA, 336 Skymaster"
39,C337,cessna,Fixed-wing,2P/S,Light,I,II,3,"AVIONES COLOMBIA, 337 CESSNA, 337 Super Skymaster CESSNA, M337 Super Skymaster CESSNA, MC337 Super Skymaster CESSNA, O-2 Super Skymaster CESSNA, T337B Turbo Super Skymaster CESSNA, T337C Turbo Super Skymaster CESSNA, T337D Turbo Super Skymaster CESSNA, T337E Turbo Super Skymaster CESSNA, T337F Turbo Super Skymaster CESSNA, T337H Turbo Super Skymaster REIMS, F337 Super Skymaster ; REIMS, FT337E Turbo Super Skymaster REIMS, FT337F Turbo Super Skymaster REIMS, FTB337 Milirole SUMMIT, O2-337 Sentry"
40,C340,cessna,Fixed-wing,2P/S,Light,I,II,4,"AVIONES COLOMBIA, 340 ; CESSNA, 340 ; RILEY, Rocket 340 ; RILEY, Super 340"
41,C402,cessna,Fixed-wing,2P/S,Light,I,II,3,"AVIONES COLOMBIA, 402 ; CESSNA, 401 ; CESSNA, 402 ; CESSNA, 402 Businessliner ; CESSNA, 402 Utillliner"
42,C404,cessna,Fixed-wing,2P/S,Light,I,II,5,"CESSNA, 404 Titan"
43,C408,cessna,Fixed-wing,2T/S+,Light,I,II,7,"CESSNA, 408 SkyCourier"
44,C411,cessna,Fixed-wing,2P/S,Light,I,II,4,"CESSNA, 411"
45,C414,cessna,Fixed-wing,2P/S,Light,I,II,6,"AVIONES COLOMBIA, 414 CESSNA, 414 CESSNA, 414 Chancellor RILEY, Rocket Power 414"
46,C421,cessna,Fixed-wing,2P/S,Light,I,II,6,"CESSNA, 421 ; CESSNA, 421 Executive Commuter CESSNA, 421 Golden Eagle"
47,C425,cessna,Fixed-wing,2T/S,Light,I,II,5,"CESSNA, 425 Conquest 1 CESSNA, 425 Corsair"
48,C441,cessna,Fixed-wing,2T/S,Light,I,II,6,"CESSNA, 441 Conquest CESSNA, 441 Conquest 2"
49,C500,cessna,Fixed-wing,2J/S,Light,I,III,6,"CESSNA, 500 Citation CESSNA, 500 Citation 1"
50,C501,cessna,Fixed-wing,2J/S,Light,I,III,6,"CESSNA, 501 Citation 1SP"
51,C510,cessna,Fixed-wing,2J/S,Light,I,III,5,"CESSNA, 510 Citation Mustang"
52,C525,cessna,Fixed-wing,2J/S,Light,I,III,7,"CESSNA, 525 Citation CJ1 CESSNA, 525 CitationJet"
53,C25M,cessna,Fixed-wing,2J/S,Light,I,III,6,"CESSNA, 525 Citation M2"
54,C25A,cessna,Fixed-wing,2J/S,Light,I,III,7,"CESSNA, 525A Citation CJ2"
55,C25B,cessna,Fixed-wing,2J/S+,Light,I,III,7,"CESSNA, 525B Citation CJ3"
56,C25C,cessna,Fixed-wing,2J/S+,Medium,H,III,7,"CESSNA, 525C Citation CJ4"
57,C550,cessna,Fixed-wing,2J/S+,Light,I,III,7,"CESSNA, 550 Citation 2 CESSNA, S550 Citation S2"
58,C551,cessna,Fixed-wing,2J/S+,Light,I,III,5,"CESSNA, 551 Citation 2SP"
59,C55B,cessna,Fixed-wing,2J/S+,Light,I,III,7,"CESSNA, 550B Citation Bravo CESSNA, 560 Citation 5"
60,C560,cessna,Fixed-wing,2J/S+,Medium,H,III,8,"CESSNA, 560 Citation Encore CESSNA, 560 Citation Ultra CESSNA, OT-47 Citation Ultra CESSNA, UC-35 Citation Encore CESSNA, UC-35 Citation Ultra"
61,C56X,cessna,Fixed-wing,2J/S+,Medium,H,III,7,"CESSNA, 560XL Citation Ascend CESSNA, 560XL Citation Excel CESSNA, 560XL Citation XLS TEXTRON, 560XL Citation Ascend"
62,C650,cessna,Fixed-wing,2J/S+,Medium,H,III,8,"CESSNA, 650 Citation 3 CESSNA, 650 Citation 6 CESSNA, 650 Citation 7"
63,C680,cessna,Fixed-wing,2J/S+,Medium,H,III,6,"CESSNA, 680 Citation Sovereign"
64,C68A,cessna,Fixed-wing,2J/S+,Medium,H,III,6,"CESSNA, 680A Citation Latitude"
65,C700,cessna,Fixed-wing,2J/S+,Medium,H,III,7,"CESSNA, 700 Citation Longitude"
66,C750,cessna,Fixed-wing,2J/S+,Medium,H,III,9,"CESSNA, 750 Citation 10 AVIONES COLOMBIA, 177RG"
67,COL3,cessna,Fixed-wing,1 P / S,Light,I,I,6,"CESSNA, 350 CESSNA, 350 Corvalis CESSNA, LC-42"
68,COL4,cessna,Fixed-wing,1 P / S,Light,I,I,6,"CESSNA, 400"
69,F402,cessna,Fixed-wing,1 ~T / S,Light,I,I,,"FALCON AIR, Falcon 402 ; CESSNA, F406 Caravan 2 ; CESSNA, F406 Vigilant ; REIMS, F406 Caravan 2 ; REIMS, F406 Vigilant"
70,P210,cessna,Fixed-wing,1 P / S,Light,I,I,2,"AVIONES COLOMBIA, P210 CESSNA, P210 Pressurized Centurion RILEY, Rocket P210 RILEY, Super P210"
71,P337,cessna,Fixed-wing,2 P / S,Light,I,II,3,"CESSNA, P337 Pressurized Skymaster ; CESSNA, T337G Pressurized Skymaster ; REIMS, FP337 Pressurized Skymaster ; REIMS, FT337G Pressurized Skymaster"
72,T206,cessna,Fixed-wing,1 P / S,Light,I,I,2,"CESSNA, T206 Stationair TC CESSNA, T206 Turbo Stationair CESSNA, TP206 Turbo Super Skylane"
73,T210,cessna,Fixed-wing,1 P / S,Light,I,I,2,"CESSNA, T210 Turbo Centurion ; AD AEROSPACE, T-211 ; ADAMS, T-211 ; DM AEROSPACE, T-211 ; INDUS, T-11 Sky Skooter"
74,J2,piper,Fixed-wing,1P/S,Light,I,I,1,"PIPER, J-2 Cub ; TAYLOR (1), J-2 Cub"
75,J3,piper,Fixed-wing,1P/S,Light,I,I,1,"AMERICAN LEGEND, AL-3C Legend Cub CUB, J-3 Cub CUB, J-3 Prospector HENDERSON, Little Bear PIPER, J-3 Cub"
76,J4,piper,Fixed-wing,1 P / S,Light,I,I,1,"PIPER, J-4 Cub Coupe"
77,J5,piper,Fixed-wing,1 P / S,Light,I,I,1,"PIPER, AE Cub Cruiser ; PIPER, J-5 Cub Cruiser ; PIPER, L-14 Cub Cruiser"
78,PA11,piper,Fixed-wing,1 P / S,Light,I,I,1,"AMERICAN LEGEND, AL-11C Legend Cub Special PIPER, L-18B Cub Special PIPER, PA-11 Cub Special TEXAS SPORT, TX-11 Texas Sport"
79,PA12,piper,Fixed-wing,1 P / S,Light,I,I,1,"BACKCOUNTRY, PA-12 Super Cruiser PIPER, PA-12 Super Cruiser"
80,PA14,piper,Fixed-wing,1 P / S,Light,I,I,1,"PIPER, PA-14 Family Cruiser WAGAERO, 2+2 Sportsman"
81,PA15,piper,Fixed-wing,1 P / S,Light,I,I,1,"PIPER, PA-15 Vagabond WAGAERO, Wag-a-Bond"
82,PA16,piper,Fixed-wing,1 P / S,Light,I,I,1,"PIPER, PA-16 Clipper"
83,PA17,piper,Fixed-wing,1 P / S,Light,I,I,1,"PIPER, PA-17 Vagabond PIPER, PA-17 Vagabond Trainer"
84,PA18,piper,Fixed-wing,1 P / S,Light,I,I,1,"AIRFRAMES-DAKOTA, CUB S-18 Super 18 AMERICAN LEGEND, AL-18 MOAC AMERICAN LEGEND, AL-18 Super Legend BACKCOUNTRY, PA-18 Super Cub CUB CRAFTERS, CC-18 Top Cub CUB CRAFTERS, PA-18 Top Cub PIPER, L-18C Super Cub PIPER, L-21 Super Cub PIPER, PA-18 Super Cub PIPER, U-7 Super Cub SAFAT, 01 ; SMITH AVIATION, PA-18 Super Cub ; SUPER 18, S-18 Super 18 ; TURBINE CUBS, PA-18 Super Cub ; WAGAERO, Super Cuby ; WAGAERO, Super Sport ; YAKIMA AEROSPORT, Super 18 Turbo Cub"
85,PA20,piper,Fixed-wing,1 P / S,Light,I,I,1,"PIPER, PA-20 Pacer"
86,PA22,piper,Fixed-wing,1 P / S,Light,I,I,2,"PIPER, PA-22 Caribbean PIPER, PA-22 Colt PIPER, PA-22 Tri-Pacer"
87,PA23,piper,Fixed-wing,2 P / S,Light,I,II,2,"MILLER (1), Jet Profile PIPER, PA-23-150 Apache PIPER, PA-23-160 Apache SEGUIN, Geronimo"
88,PA24,piper,Fixed-wing,1 P / S,Light,I,I,4,"PIPER, PA-24 Comanche"
89,PA25,piper,Fixed-wing,1 P / S,Light,I,I,1,"CHINCUL, PA-A-25 Pawnee EMBRAER, PA-25 Pawnee LAVIASA, PA-25 Puelche PIPER, PA-25 Pawnee"
90,PA27,piper,Fixed-wing,2 P / S,Light,I,II,3,"CHINCUL, PA-A-23-250 Aztec PIPER, PA-23-235 Aztec PIPER, PA-23-250 Aztec PIPER, PA-23-250 Turbo Aztec PIPER, U-11 Aztec PIPER, UC-26 Aztec"
91,PA30,piper,Fixed-wing,2 P / S,Light,I,II,1,"AICSA, PA-30 Twin Comanche MILLER (1), Twin Comanche 200 PIPER, PA-30 Turbo Twin Comanche PIPER, PA-30 Twin Comanche PIPER, PA-39 Twin Comanche CR"
92,PA31,piper,Fixed-wing,2P/S,Light,I,II,2,"AICSA, PA-31-310 Navajo AICSA, PA-31-325 Navajo CR AICSA, PA-31-350 Chieftain AICSA, PA-31-350 Navajo Chieftain CHINCUL, PA-A-31-310 Navajo CHINCUL, PA-A-31-325 Navajo CR CHINCUL, PA-A-31-350 Chieftain CHINCUL, PA-A-31-350 Navajo Chieftain CHINCUL, PA-A-31P-425 Pressurized Navajo COLEMILL, Panther 2 COLEMILL, Panther 3 COLEMILL, Panther Navajo EMBRAER, EMB-820 Navajo NEIVA, EMB-820 Navajo PIPER, PA-31-300 Navajo PIPER, PA-31-310 Navajo PIPER, PA-31-325 Navajo CR PIPER, PA-31-350 Chieftain PIPER, PA-31-350 Navajo Chieftain PIPER, PA-31-350 T-1020 PIPER, PA-31P-350 Mojave PIPER, PA-31P-425 Pressurized Navajo"
93,PA32,piper,Fixed-wing,1P/S,Light,I,I,3,"AICSA, PA-32 Cherokee Six AICSA, PA-32 Saratoga AICSA, PA-32 Six AICSA, PA-32 Turbo Saratoga CHINCUL, PA-A-32 Cherokee Six EMBRAER, EMB-720 Minuano NEIVA, EMB-720 Minuano PIPER, PA-32 6X PIPER, PA-32 6XT PIPER, PA-32 Cherokee Six PIPER, PA-32 Saratoga PIPER, PA-32 Six PIPER, PA-32 Turbo Saratoga"
94,PA34,piper,Fixed-wing,2P/S,Light,I,II,7,"AICSA, PA-34 Seneca BENGIS, TM-20 Flamingo 3 CHINCUL, PA-A-34 Seneca EMBRAER, EMB-810 Seneca EMBRAER, U-7 Seneca NEIVA, EMB-810 Seneca PIPER, PA-34 Seneca PZL-MIELEC, M-20 Gemini PZL-MIELEC, M-20 Mewa SEGUIN, Princess"
95,PA36,piper,Fixed-wing,1P/S,Light,I,I,2,"AICSA, PA-36 Pawnee Brave CHINCUL, PA-A-36 Pawnee Brave JOHNSTON, Super Brave PIPER, PA-36 Pawnee Brave"
96,PA38,piper,Fixed-wing,1P/S,Light,I,I,3,"AICSA, PA-38 Tomahawk CHINCUL, PA-A-38 Tomahawk PIPER, PA-38 Tomahawk"
97,PA44,piper,Fixed-wing,2P/S,Light,I,II,2,"AICSA, PA-44 Seminole PIPER, PA-44 Turbo Seminole PIPER, PA-46-310P Malibu PIPER, PA-46-350P M350 PIPER, PA-46-350P Malibu Mirage PIPER, PA-46R-350T Malibu Matrix"
98,PA46,piper,Fixed-wing,1P/S,Light,I,I,4,"BELLANCA, 31 Senior Skyrocket BELLANCA, CH-300 Pacemaker BELLANCA, CH-400 Skyrocket BELLANCA, D Skyrocket"
99,M6,piper,Fixed-wing,1 P / S,Light,I,I,1,"MAULE, M-6 Super Rocket ; PIPER, PA-46-600TP M600"
100,P28A,piper,Fixed-wing,1 P / S,Light,I,I,1,"PIPER, PA-28-140 Cherokee Cruiser PIPER, PA-28-140 Cherokee Flite Liner PIPER, PA-28-150 Cherokee PIPER, PA-28-151 Cherokee Warrior PIPER, PA-28-160 Cherokee PIPER, PA-28-161 Cadet PIPER, PA-28-161 Cherokee Warrior 2 PIPER, PA-28-161 Warrior 2 PIPER, PA-28-161 Warrior 3 PIPER, PA-28-180 Cherokee PIPER, PA-28-180 Cherokee Archer PIPER, PA-28-180 Cherokee Challenger PIPER, PA-28-180TG Cherokee Chief PIPER, PA-28-181 Archer 2 PIPER, PA-28-181 Archer 3 PIPER, PA-28-181 Archer DLX PIPER, PA-28-181 Archer DX PIPER, PA-28-181 Archer LX PIPER, PA-28-181 Archer TX PIPER, PA-28-181 Cherokee Archer 2 PIPER, PA-28-181 Pilot"
101,P28B,piper,Fixed-wing,1 P / S,Light,I,I,3,"AICSA, PA-28-201T Turbo Dakota AICSA, PA-28-235 Cherokee AICSA, PA-28-235 Cherokee Charger AICSA, PA-28-235 Cherokee Pathfinder AICSA, PA-28-236 Dakota CHINCUL, PA-A-28-235 Cherokee Charger CHINCUL, PA-A-28-235 Cherokee Pathfinder CHINCUL, PA-A-28-236 Dakota EMBRAER, EMB-710 Carioca INDAER CHILE, PA-28-236 Dakota NEIVA, EMB-710 Carioca PIPER, PA-28-201T Turbo Dakota PIPER, PA-28-235 Cherokee PIPER, PA-28-235 Cherokee Charger PIPER, PA-28-235 Cherokee Pathfinder PIPER, PA-28-236 Dakota"
102,P28R,piper,Fixed-wing,1 P / S,Light,I,I,3,"AICSA, PA-28R-180 Cherokee Arrow AICSA, PA-28R-200 Cherokee Arrow 2 CHINCUL, PA-A-28R-200 Cherokee Arrow 2 CHINCUL, PA-A-28R-201 Arrow 3 CHINCUL, PA-A-28R-201 Cherokee Arrow 3 EMBRAER, EMB-711B Corisco EMBRAER, EMB-711C Corisco NEIVA, EMB-711B Corisco NEIVA, EMB-711C Corisco PIPER, PA-28R-180 Cherokee Arrow PIPER, PA-28R-200 Cherokee Arrow PIPER, PA-28R-200 Cherokee Arrow 2 PIPER, PA-28R-201 Arrow PIPER, PA-28R-201 Arrow 3 PIPER, PA-28R-201 Cherokee Arrow 3"
103,P28S,piper,Fixed-wing,1 P / S,Light,I,I,2,"AICSA, PA-28R-201T Turbo Arrow 3 AICSA, PA-28R-201T Turbo Cherokee Arrow 3 CHINCUL, PA-A-28R-201T Turbo Arrow 3 CHINCUL, PA-A-28R-201T Turbo Cherokee Arrow 3 PIPER, PA-28R-201T Turbo Arrow PIPER, PA-28R-201T Turbo Arrow 3 PIPER, PA-28R-201T Turbo Cherokee Arrow 3"
104,P28T,piper,Fixed-wing,1 P / S,Light,I,I,2,"CHINCUL, PA-A-28RT-201 Arrow 4 EMBRAER, EMB-711T Corisco 2 NEIVA, EMB-711T Corisco 2 PIPER, PA-28RT-201 Arrow 4"
105,P28U,piper,Fixed-wing,1 P / S,Light,I,I,2,"AICSA, PA-28RT-201T Turbo Arrow 4 CHINCUL, PA-A-28RT-201T Turbo Arrow 4 EMBRAER, EMB-711ST Corisco 2 Turbo NEIVA, EMB-711ST Corisco 2 Turbo PIPER, PA-28RT-201T Turbo Arrow 4"
106,P32R,piper,Fixed-wing,1 P / S,Light,I,I,3,"AICSA, PA-32R-300 Lance ; AICSA, PA-32R-301T Turbo Saratoga SP ; CHINCUL, PA-A-32R-300 Cherokee Lance ; CHINCUL, PA-A-32R-300 Lance ; EMBRAER, EMB-721 Sertanejo ; NEIVA, EMB-721 Sertanejo ; PIPER, PA-32R-300 Cherokee Lance ; PIPER, PA-32R-300 Lance ; PIPER, PA-32R-301 Saratoga 2 HP ; PIPER, PA-32R-301 Saratoga SP ; PIPER, PA-32R-301T Saratoga 2 TC ; PIPER, PA-32R-301T Turbo Saratoga SP"
107,P32T,piper,Fixed-wing,1 P / S,Light,I,I,2,"AICSA, PA-32RT Turbo Lance 2 ; CHINCUL, PA-A-32RT-300 Lance 2 ; CHINCUL, PA-A-32RT-300T Turbo Lance 2 ; EMBRAER, PA-32RT-300 Lance 2 ; PIPER, PA-32RT-300 Lance 2 ; PIPER, PA-32RT-300T Turbo Lance 2"
108,P46T,piper,Fixed-wing,1 ~T / S,Light,I,I,4,"JETPROP, DLX ; PIPER, PA-46-500TP Malibu Meridian PIPER, PA-46-500TP Meridian M500"
109,PAT4,piper,Fixed-wing,2 ~T / S,Light,I,II,,"NEIVA, NE-821 Caraja ; PIPER, PA-31T3-500 T-1040 ; SCHAFER, Comanchero 500"
110,PAY1,piper,Fixed-wing,2 ~T / S,Light,I,II,5,"CHINCUL, PA-A-31T1-500 Cheyenne 1 PIPER, PA-31T1-500 Cheyenne 1"
111,PAY2,piper,Fixed-wing,2 ~T / S,Light,I,II,2,"AICSA, PA-31T2-620 Cheyenne 2XL AICSA, PA-31T-620 Cheyenne 2 CHINCUL, PA-A-31T-620 Cheyenne 2 PIPER, PA-31T2-620 Cheyenne 2XL PIPER, PA-31T-620 Cheyenne PIPER, PA-31T-620 Cheyenne 2 SCHAFER, Comanchero 620"
